leto,mesto,klub,tocke
2007,1,2,7496
2007,2,3,7187
2007,3,25,6523
2007,4,31,4979
2007,5,9,4062
2007,6,19,3443
2007,7,24,3437
2007,8,5,3369
2007,9,7,2788
2007,10,28,2511
2007,11,48,2265
2007,12,11,1837
2007,13,47,1751
2007,14,46,1356
2007,15,14,1317
2007,16,10,1310
2007,17,56,1059
2007,18,17,1055
2007,19,42,951
2007,20,27,907
2007,21,41,896
2007,22,43,708
2007,23,22,618
2007,24,37,554
2007,25,1,338
2007,26,49,302
2007,27,26,204
2007,28,50,192
2007,29,33,99
2007,30,39,28
2006,1,3,9003
2006,2,25,7632
2006,3,2,6603
2006,4,19,5817
2006,5,24,5059
2006,6,31,4221
2006,7,28,4073
2006,8,11,4030
2006,9,5,3563
2006,10,7,3539
2006,11,9,3473
2006,12,27,2374
2006,13,10,2035
2006,14,46,1883
2006,15,47,1395
2006,16,22,1179
2006,17,56,907
2006,18,43,888
2006,19,49,875
2006,20,42,663
2006,21,50,590
2006,22,52,481
2006,23,1,356
2006,24,14,319
2006,25,41,298
2006,26,17,234
2006,27,37,137
2006,28,39,42
2006,29,33,12
2005,1,3,6388
2005,2,25,5725
2005,3,2,5195
2005,4,19,4625
2005,5,24,4065
2005,6,11,3978
2005,7,31,3838
2005,8,9,3757
2005,9,28,3239
2005,10,27,2937
2005,11,7,2758
2005,12,5,2565
2005,13,46,1396
2005,14,10,1318
2005,15,22,1086
2005,16,50,1078
2005,17,49,986
2005,18,43,973
2005,19,56,814
2005,20,52,361
2005,21,47,350
2005,22,39,310
2005,23,42,238
2005,24,26,178
2005,25,1,127
2005,26,41,59
2004,1,25,6926
2004,2,3,6236
2004,3,2,4227
2004,4,19,4051
2004,5,11,4025
2004,6,9,4017
2004,7,24,3511
2004,8,28,3350
2004,9,46,2886
2004,10,31,2236
2004,11,7,2166
2004,12,27,2002
2004,13,5,1836
2004,14,22,1540
2004,15,50,848
2004,16,49,759
2004,17,53,722
2004,18,10,630
2004,19,14,611
2004,20,56,556
2004,21,43,442
2004,22,26,429
2004,23,47,363
2004,24,1,263
2004,25,36,255
2004,26,52,225
2004,27,54,41
2004,28,45,34
2004,29,55,7
